8345,Montgomery Field,San Diego,United States,MYF,NULL,32.4759,117.759,17,-8,A
8346,Gimpo International Airpot,Seoul,South Korea,SEL,,37.558311,126.790586,58,9,N
8347,Ali Al Salem Air Base,Kuwait,Kuwait,,OKAS,29.346742,47.520753,472,3,A
8348,Renmark,Renmark,Australia,RMK,YREN,-34.118,140.404,115,9.5,O
8349,Leigh Creek,Leigh Creek,Australia,,YLEC,-30.598333,138.425833,856,9.5,O
8350,Warburton,Warburton Community,Australia,,YWBR,-26.128333,126.583333,1500,8,O
8351,Cunderdin,Cunderdin,Australia,,YCUN,-31.622223,117.216667,705,8,O
8352,Rottnest Island,Rottnest Island,Australia,,YRTI,-32.006667,115.539722,12,8,O
8353,Forrest,Forrest,Australia,,YFRT,-30.838056,128.115,511,8,O
8354,Ballarat,Ballarat,Australia,,YBLT,-37.511667,143.791111,1433,10,O
8355,Keewaywin,Keewaywin,Canada,KEW,CPV8,52.991111,-92.836389,988,-5,A
8356,Marathon,Marathon,Canada,YSP,CYSP,48.755278,-86.344444,1035,-5,A
8357,Rene Fontaine,Hearst,Canada,YHF,CYHF,49.713889,-83.686944,826,-5,A
8358,Hornepayne,Hornepayne,Canada,YHN,CYHN,49.193056,-84.758889,1099,-5,A
8359,Kirkland Lake,Kirkland Lake,Canada,YKX,CYKX,48.210278,-79.981389,1157,-5,A
8360,Manitouwadge,Manitouwadge,Canada,YMG,CYMG,49.083889,-85.860556,1198,-5,A
8361,Wawa,Wawa,Canada,YXZ,CYXZ,47.966944,-84.786389,944,-5,A
8362,Manitoulin East,Manitowaning,Canada,YEM,CYEM,45.8425,-81.8575,869,-5,A
8363,Slate Falls,Slate Falls,Canada,,CKD9,51.13,-91.665556,1355,-6,A
8364,Collingwood,Collingwood,Canada,,CNY3,44.449167,-80.158333,730,-5,A
8365,Brantford,Brantford,Canada,YFD,CYFD,43.131389,-80.3425,815,-5,A
8366,Lawrence Municipal,Lawrence,United States,LWC,KLWC,39.009167,-95.2175,833,-4,A
8367,Wellington Municipal,Wellington,United States,EGT,KEGT,37.39411,-97.423225,1277,-4,A
8368,Isla San Jose,Hacienda Del Mar,Panama,,,8.252,-79.0668,150,-5,N
8369,Griffin-Spalding County Airport,Griffin,United States,6A2,,33.2269722,-84.2749444,958,-5,A
8370,Dieu Merci,Saint-Elie,French Guiana,,,4.7828,-53.2611,253,-3,N
8371,DEGRA,REMIRE-MONTJOLY,French Guiana,,,4.8708,52.2783,33,-3,N
8372,Herapel,Morsbach,France,,,49.1606,6.8649,840,1,E
8373,Degrad des Cannes,REMIRE-MONTJOLY,French Guiana,,,4.8708,-52.2783,33,-3,N
8374,Elysee,Elysee,French Guiana,,,4.75,-54.05,100,-3,N
8375,Citron,Citron,French Guiana,,,4.7301,-53.9516,100,-3,N
8376,Yaou,Maripasoula,French Guiana,,,3.7243,-53.9747,300,-3,N
8377,Helicojyp,REMIRE-MONTJOLY,French Guiana,,,4.8936,-52.2922,39,-3,N
8378,Nicosia International Airport,Nicosia,Cyprus,NIC,,35.15111,33.27222,0,2,U
8379,Pompano Beach Airpark,Pompano Beach,United States,PMP,KPMP,26.2471389,-80.1110556,19,-5,A
8380,Mallacoota Airport,Mallacoota,Australia,XMC,YMCO,-37.598301,149.720001,31,11,U
8381,Prince Abdul Majeed Airport,Al-Ula,Saudi Arabia,ULH,OEAO,26.636718,37.908018,2047,3,N
8382,Pogapa Airstrip,Pogapa,Indonesia,,,-3.7518,136.842481,6060,9,N
8383,Pogapa Airstrip,Pogapa,Indonesia,,,-3.7518,136.842481,6060,9,N
8384,Greyhound Station,Washington DC,United States,,DCBS,38.90339,-77.00583,0,-5,A
8385,Roma Street Railway Station,Brisbane,Australia,,,-27.4666667,-153.0166667,100,10,N
8386,Roma Street Railway Station,Brisbane,Australia,,,-27.4666667,153.0166667,100,10,N
8387,Rockhampton Railway Station,Rockhampton,Australia,,,-23.378941,150.512323,100,10,N
8388,Sydney Terminal Railway Station,Sydney,Australia,,,-33.88373,151.20592,100,10,O
8389,Melbourne Southern Cross Railway Station,Melbourne,Australia,,,-37.8181602,144.9533883,111,10,O
8390,Nambour Railway Station,Nambour,Australia,,,-26.617353,152.973785,400,10,N
8391,Bundaberg Railway Station,Bundaberg,Australia,,,-24.867837,152.349416,100,10,U
8392,Hung Hom Railway Station,Hong Kong,Hong Kong,,,22.308813,114.169624,100,8,N
8393,Hong Kong Railway Station,Hong Kong,Hong Kong,,,22.28462911,114.1582274,100,8,N
8394,Shelby County Airport,Alabaster,United States,EET,KEET,33.1777778,-86.7832222,586,-6,A
8395,Yuendumu ,Yuendumu ,Australia,YUE,YYND,-22.254167,131.781944,2205,9.5,O
8396,Gare de Strasbourg,Strasbourg,France,XWG,,48.585068,7.734547,475,1,E
8397,Sky Ranch at Carefree,Carefree,United States,,18AZ,33.8180947,-111.8979242,2568,-7,N
8398,St Peter and St Paul Fortress,St. Petersburg,Russia,,,59.951443,30.313831,30,3,N
8399,Guangzhou South Railway Station,Guangzhou,China,GZS,,22.990081,113.270631,1,8,U
8400,Oddballs Camp Private Airstrip,Okavango Oddballs Camp,Botswana,,,-19.531281,23.091847,3133,2,N
8401,Lombok International Airport,Praya,Indonesia,LOP,WADL,-8.7573222,116.276675,52,8,N
8402,Marmul,Marmul,Oman,OMM,OONR,18.133333,55.266666,900,4,N
8403,One Hundred Mile House Airport,One Hundred Mile House,Canada,,CAV3,51.3833,-121.1825,3055,-8,A
8404,South Cariboo Regional Airport,108 Mile Ranch,Canada,ZML,CZML,51.4412,-121.1958,3129,-8,A
8405,Glasgow City Heliport,Glasgow,United Kingdom,,EGEG,55.5141,-4.1749,10,0,E
